experiment,resolution,seed,fold,val_auc,worst_source_auc,holdout_auc,holdout_n,best_epoch,source_balance,path,test_skipped
E0,224,42,official,0.9400164621822302,0.8165188470066519,,,14,,/Users/moniaz/niki/results/next_architecture/E0/res224/seed42/foldofficial_1ca7ec29,True
E0,224,43,official,0.9078850405305822,0.796840354767184,,,17,,/Users/moniaz/niki/results/next_architecture/E0/res224/seed43/foldofficial_1ca7ec29,True
E0,224,44,official,0.9268682637569113,0.8272357723577235,,,16,,/Users/moniaz/niki/results/next_architecture/E0/res224/seed44/foldofficial_1ca7ec29,True
E0,224,45,official,0.917697707791956,0.7500923872875093,,,5,,/Users/moniaz/niki/results/next_architecture/E0/res224/seed45/foldofficial_1ca7ec29,True
E0,224,46,official,0.9378013936831763,0.781319290465632,,,6,,/Users/moniaz/niki/results/next_architecture/E0/res224/seed46/foldofficial_1ca7ec29,True
E1,384,42,official,0.9444681465392786,0.78519955654102,,,2,,/Users/moniaz/niki/results/next_architecture/E1/res384/seed42/foldofficial_1ca7ec29,True
E1,456,42,official,0.9426581683883006,0.7582224685883222,,,1,,/Users/moniaz/niki/results/next_architecture/E1/res456/seed42/foldofficial_1ca7ec29,True
E2,384,42,loso_farabi,0.9556423771913575,0.9534979423868313,0.7743557276925368,1410.0,1,,/Users/moniaz/niki/results/next_architecture/E2/res384/seed42/foldloso_farabi_1ca7ec29,True
E2,384,42,loso_farfum_rop,0.9070106793734424,0.8061714708056171,0.9025337471180752,1529.0,8,,/Users/moniaz/niki/results/next_architecture/E2/res384/seed42/foldloso_farfum_rop_1ca7ec29,True
E2,384,42,loso_plus,0.9250978339440166,0.8131929046563192,0.9485153949495225,5931.0,1,,/Users/moniaz/niki/results/next_architecture/E2/res384/seed42/foldloso_plus_1ca7ec29,True
E2,384,42,official,0.9450671631178167,0.8305617147080563,,,6,,/Users/moniaz/niki/results/next_architecture/E2/res384/seed42/foldofficial_1ca7ec29,True
E2,384,43,official,0.9538283192629078,0.7833518107908352,,,2,,/Users/moniaz/niki/results/next_architecture/E2/res384/seed43/foldofficial_1ca7ec29,True
E2,384,44,official,0.9470624485556804,0.830931263858093,,,1,,/Users/moniaz/niki/results/next_architecture/E2/res384/seed44/foldofficial_1ca7ec29,True
E2,384,45,official,0.9489499971988433,0.8112527716186253,,,2,,/Users/moniaz/niki/results/next_architecture/E2/res384/seed45/foldofficial_1ca7ec29,True
E2,384,46,official,0.9401974599973282,0.8340724316334073,,,6,,/Users/moniaz/niki/results/next_architecture/E2/res384/seed46/foldofficial_1ca7ec29,True
E3,384,42,official,0.943084806095317,0.8304693274205469,,,5,,/Users/moniaz/niki/results/next_architecture/E3/res384/seed42/foldofficial_1ca7ec29,True
E4,384,42,official,0.9348494055083667,0.7373429416112343,,,10,,/Users/moniaz/niki/results/next_architecture/E4/res384/seed42/foldofficial_1ca7ec29,True
E4B,384,42,official,0.9333755661568562,0.7339246119733924,,,14,"{'enabled': False, 'experiment': 'E4B'}",/Users/moniaz/niki/results/next_architecture/E4B/res384/seed42/foldofficial_1ca7ec29,True
E4B,384,43,official,0.9388399763840946,0.6940133037694013,,,3,"{'enabled': False, 'experiment': 'E4B'}",/Users/moniaz/niki/results/next_architecture/E4B/res384/seed43/foldofficial_1ca7ec29,True
E4B,384,44,official,0.9170771438544777,0.7165558019216556,,,3,"{'enabled': False, 'experiment': 'E4B'}",/Users/moniaz/niki/results/next_architecture/E4B/res384/seed44/foldofficial_1ca7ec29,True
E8,384,42,loso_farabi,0.9675401222613293,0.9499683444127889,0.8033014300610756,1410.0,1,"{'enabled': True, 'experiment': 'E8', 'method': 'inverse_frequency', 'n': 5224, 'n_sources': 2, 'source_counts': {'farfum_rop': 1070, 'plus': 4154}, 'expected_draw_fraction': {'farfum_rop': 0.5, 'plus': 0.5}, 'weight_mean_by_source': {'farfum_rop': 2.4411214953271028, 'plus': 0.6287915262397689}}",/Users/moniaz/niki/results/next_architecture/E8/res384/seed42/foldloso_farabi_1ca7ec29,True
E8,384,42,loso_farfum_rop,0.9233848577590102,0.8294530672579452,0.907050962401516,1529.0,5,"{'enabled': True, 'experiment': 'E8', 'method': 'inverse_frequency', 'n': 5141, 'n_sources': 2, 'source_counts': {'farabi': 987, 'plus': 4154}, 'expected_draw_fraction': {'farabi': 0.5, 'plus': 0.5}, 'weight_mean_by_source': {'farabi': 2.60435663627153, 'plus': 0.6188011555127588}}",/Users/moniaz/niki/results/next_architecture/E8/res384/seed42/foldloso_farfum_rop_1ca7ec29,True
E8,384,42,loso_plus,0.9372865724469702,0.8410014781966001,0.9213048633666008,5931.0,9,"{'enabled': True, 'experiment': 'E8', 'method': 'inverse_frequency', 'n': 2057, 'n_sources': 2, 'source_counts': {'farabi': 987, 'farfum_rop': 1070}, 'expected_draw_fraction': {'farabi': 0.5, 'farfum_rop': 0.5}, 'weight_mean_by_source': {'farabi': 1.042046605876393, 'farfum_rop': 0.961214953271028}}",/Users/moniaz/niki/results/next_architecture/E8/res384/seed42/foldloso_plus_1ca7ec29,True
E8,384,42,official,0.9434080164794201,0.8156873614190687,,,3,"{'enabled': True, 'experiment': 'E8', 'method': 'inverse_frequency', 'n': 6211, 'n_sources': 3, 'source_counts': {'farabi': 987, 'farfum_rop': 1070, 'plus': 4154}, 'expected_draw_fraction': {'farabi': 0.3333333333333333, 'farfum_rop': 0.3333333333333333, 'plus': 0.3333333333333333}, 'weight_mean_by_source': {'farabi': 2.097602161431949, 'farfum_rop': 1.9348909657320872, 'plus': 0.4983951211683518}}",/Users/moniaz/niki/results/next_architecture/E8/res384/seed42/foldofficial_1ca7ec29,True
