feature_name,n_total,n_affected_rows,n_changed_rows,median_abs_delta,p95_abs_delta,max_abs_delta,median_relative_delta,p95_relative_delta,n_nan_mismatch,n_delta_positive,n_delta_negative,historical_status,limitation_marking
vessel_density,8870,610,415,2.8483072916599128e-05,0.00011409183413538108,0.0009480794270832898,0.0003948147660721731,0.0018294288504418234,0,224,191,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
vessel_pixels,8870,610,415,24.0,120.59999999999991,1165.0,0.0003948147660722511,0.0018294288504423046,0,224,191,qc_only,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
density_r0c0,8870,610,82,0.0001458610469323024,0.00043805906358186794,0.004264977012298998,0.002594024506561981,0.015256421965641078,0,51,31,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
density_r0c1,8870,610,174,0.00014621422138010043,0.0005512418465197427,0.0022516990092524003,0.0013739619185120417,0.006000892325993059,0,85,89,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
density_r0c2,8870,610,69,0.00014621422138000328,0.0002934272300469942,0.0006161971830986046,0.0026212319790291107,0.011514677776459297,0,26,43,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
density_r1c0,8870,610,132,0.0001462142213801143,0.0005519859813084415,0.006872068404861306,0.002046310353038906,0.012724876049221494,0,80,52,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
density_r1c1,8870,610,171,0.00014656825097170145,0.0007801065052989997,0.00586854460093901,0.0013793103448280675,0.007960216326761653,0,88,83,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
density_r1c2,8870,610,130,0.0001465682509717986,0.0006188698001059671,0.0035528144035550935,0.002124791105586567,0.009652482327504158,0,72,58,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
density_r2c0,8870,610,72,0.00014621422138010043,0.0005523546256221713,0.0016466627634661012,0.002899181118443863,0.024783566415649442,0,33,39,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
density_r2c1,8870,610,137,0.00014637002341930105,0.0006293911007025778,0.008635831381732989,0.00159324464271488,0.00670924097196394,0,74,63,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
density_r2c2,8870,610,51,0.00014656825097180554,0.0004401408450704046,0.0005281690140845063,0.003959089409435359,0.013987908111031146,0,27,24,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
area,8870,610,415,24.0,120.59999999999991,1165.0,0.0003948147660722511,0.0018294288504423046,0,224,191,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
tortuosity_index,8870,610,370,0.0002404502717736623,0.0013985265513958515,0.004079550323003556,0.00021189234498460407,0.0012209044366005817,0,178,192,validated_correct,
median_tortuosity,8870,610,140,0.0013003811779144225,0.005847844218314589,0.00698273757543566,0.0011484255849334127,0.005289433582858277,0,70,70,validated_correct,
overall_length,8870,610,367,2.0,18.017157287525965,534.1025971044401,0.00043994493734524884,0.00416294497883357,0,199,168,exploratory,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
median_branching_angle,8870,610,38,1.2811621628137715,21.242106177598036,34.18567843452341,0.015411266554304411,0.21612980352127253,0,17,21,exploratory,
n_startpoints,8870,610,3,1.0,1.0,1.0,0.5,0.5,0,1,2,confirmed_defect,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
n_endpoints,8870,610,42,1.0,2.0,2.0,0.04124149659863945,0.08261494252873557,0,22,20,confirmed_defect,HISTORICALLY_REPRODUCED_SCI_LIMITATION_KNOWN
n_intersections,8870,610,63,1.0,2.0,4.0,0.029411764705882353,0.07142857142857142,0,35,28,confirmed_defect,
fractal_d0,8870,610,309,9.888001042934746e-05,0.0010425957169328758,0.02202948179233566,7.23033220383494e-05,0.0007921456996955334,0,174,135,exploratory,
fractal_d1,8870,610,436,7.124664801061442e-05,0.000667474516312383,0.05925466293595916,5.3737513680814794e-05,0.0004903012830723347,0,229,207,exploratory,
fractal_d2,8870,610,436,8.078416171564129e-05,0.0006592788776914604,0.062098852918311964,6.022171084335849e-05,0.00047910076920260243,0,228,208,exploratory,
singularity_length,8870,610,436,0.0002297611120001264,0.015403282725975909,1.3329314485979382,0.0001515933772880124,0.01047390033639639,0,217,219,exploratory,
