comparison,feature,n_evaluable,icc21,icc_lo,icc_hi,bias,loa_lo,loa_hi,mae,median_ae
SEG-ONLY vs GOLD,width_p50_dd,25,0.3411370190296579,0.15649944647407638,0.8199206129706109,0.03279183114736737,0.005633493703819305,0.05995016859091543,0.03279183114736737,0.038368702911246416
SEG-ONLY vs GOLD,width_p90_dd,25,0.12540361947359877,0.0363239850927529,0.42458180829851055,0.11162538907654093,0.042476343561158564,0.1807744345919233,0.11162538907654093,0.11912542354022723
SEG-ONLY vs GOLD,width_mean_dd,25,0.27750711998869426,0.1310186550694077,0.8395334377048255,0.045460687008980205,0.021788415818538173,0.06913295819942224,0.045460687008980205,0.05115238179203277
SEG-ONLY vs GOLD,width_ann_p50_dd,25,0.32123467719705745,0.13048047737187896,0.755400931828962,0.04606139280956194,-0.00012240594737435856,0.09224519156649824,0.04606139280956194,0.04759425918266842
SEG-ONLY vs GOLD,width_ann_p90_dd,25,0.046843025828723475,-0.01811931894008589,0.1170219874850907,0.17052223220496568,0.03551374564604276,0.3055307187638886,0.17052223220496568,0.17871692209492787
SEG-ONLY vs GOLD,width_ann_mean_dd,25,0.17424569322702946,0.051697687159026444,0.5167684878062095,0.06988398791069197,0.01535374448923648,0.12441423133214746,0.06988398791069197,0.07387694458301788
SEG-ONLY vs GOLD,vessel_density_fov_ring_2_3dd,21,0.8209940065765176,0.6395330207498766,0.9935126220436472,0.031225550299814452,-0.007717835523997008,0.07016893612362592,0.03170735535915613,0.028174167581412363
SEG-ONLY vs GOLD,vessel_density_fov_ring_3_6dd,21,0.7729057519014897,0.5687871917765847,0.9915893926597168,0.028566999950341572,4.516366205180311e-06,0.057129483534477964,0.028566999950341572,0.026427914218982232
END-TO-END vs GOLD,width_p50_dd,24,0.316036752156448,0.13373640704869086,0.7819651373218472,0.03467040393664464,0.005087042825792511,0.06425376504749677,0.03467040393664464,0.04050961671974365
END-TO-END vs GOLD,width_p90_dd,24,0.11017209734704994,0.0254105467687043,0.3606403581612367,0.11788641799550088,0.04237442206779263,0.19339841392320914,0.11788641799550088,0.12620594982728567
END-TO-END vs GOLD,width_mean_dd,24,0.2474748796745069,0.10795195848386,0.780022910464117,0.04878342678484828,0.021624589577101498,0.07594226399259507,0.04878342678484828,0.0537375354395605
END-TO-END vs GOLD,width_ann_p50_dd,24,0.29937797462349297,0.11821407486719589,0.7432314571628656,0.05066710900113323,0.004504432433555576,0.09682978556871089,0.05066710900113323,0.05512810977796506
END-TO-END vs GOLD,width_ann_p90_dd,24,0.04278743021128006,-0.014505702989625637,0.10961267002252421,0.18360221576589622,0.051992371522220415,0.315212060009572,0.18360221576589622,0.2028642607897617
END-TO-END vs GOLD,width_ann_mean_dd,24,0.15605334823349457,0.04298560209081514,0.4799644245299071,0.07585576679821741,0.020177125259328188,0.13153440833710664,0.07585576679821741,0.07701612027707583
END-TO-END vs GOLD,vessel_density_fov_ring_2_3dd,20,0.8154953805816091,0.6244398812390071,0.9931446686507329,0.03224852569330393,-0.007476646006471112,0.07197369739307896,0.03302013706450018,0.03083163053365548
END-TO-END vs GOLD,vessel_density_fov_ring_3_6dd,20,0.7498164532195167,0.5278176700031454,0.9884098715920429,0.030274916326315703,-0.001610092061394848,0.06215992471402625,0.030274916326315703,0.027239834541673877
AUTO-DISC vs EXPERT-DISC,width_p50_dd,24,0.9768307268599364,0.9473981402758882,0.9997785415513211,0.0022736613746935585,-0.006032574510737543,0.010579897260124661,0.004067651044616225,0.0044308811107282575
AUTO-DISC vs EXPERT-DISC,width_p90_dd,24,0.9850273045827086,0.9657979534109622,0.9999108590130178,0.004199540408370023,-0.01029857327762414,0.018697654094364188,0.0071020466431029544,0.007423375233085186
AUTO-DISC vs EXPERT-DISC,width_mean_dd,24,0.9769643155810008,0.9477050854173746,0.9997842433184103,0.002599295707259654,-0.0066073716658467275,0.011805963080366034,0.004523768303132645,0.005135922609864452
AUTO-DISC vs EXPERT-DISC,width_ann_p50_dd,24,0.9879364954070211,0.9723930943570724,0.9999467980003515,0.0030820908470427766,-0.006122907843146196,0.01228708953723175,0.004547062419333274,0.004619457913163982
AUTO-DISC vs EXPERT-DISC,width_ann_p90_dd,24,0.980343205795582,0.9552725522724339,0.9998485319390713,0.006884379660848271,-0.015970710458243116,0.02973946977993966,0.010763704913909149,0.010247900022625794
AUTO-DISC vs EXPERT-DISC,width_ann_mean_dd,24,0.9808171782809532,0.9563289992326376,0.9998539323766751,0.0037300124456215097,-0.008971602069878706,0.016431626961121725,0.0063480828834919095,0.006855911164022996
AUTO-DISC vs EXPERT-DISC,vessel_density_fov_ring_2_3dd,20,0.998564694491796,0.9963777037390374,0.9999989592786905,0.0007128323268327345,-0.006174112102134512,0.007599776755799981,0.0027478314344240827,0.0015919605061510134
AUTO-DISC vs EXPERT-DISC,vessel_density_fov_ring_3_6dd,20,0.9969345125826838,0.9922753315800398,0.9999958232371876,0.001503750255872103,-0.00546671009627223,0.008474210608016435,0.0029081146231010996,0.0021276070759107465
