camera,image,gold_vessel_density_fov,auto_vessel_density_fov,gold_skel_density_fov,auto_skel_density_fov,gold_tort_geodesic_median,auto_tort_geodesic_median,gold_tort_geodesic_p90,auto_tort_geodesic_p90,gold_tort_geodesic_top3_mean,auto_tort_geodesic_top3_mean,gold_width_shape_p90_over_p50,auto_width_shape_p90_over_p50,gold_n_branches,auto_n_branches
Neo,1.png,0.06042353352973777,0.063004987894875,0.014273352195937734,0.011113379809234897,1.0794497561459753,1.082117542861729,1.1196009111819987,1.1620912554640421,1.1533579449690734,1.2135557489750732,1.4142135623730951,1.6124515496597098,64.0,49.0
Neo,10.png,0.06783372990822124,0.06145777691448551,0.021351915699509543,0.00900791531102802,1.0789308352145843,1.0925376223322238,1.1333372146605416,1.123857673014845,1.24767019968097,1.1632016957992282,1.5811388300841895,1.788772163825749,98.0,46.0
Neo,11.png,0.06059325327426062,0.0689635070537484,0.015530877152073375,0.011430764447553535,1.0832090585540315,1.0866160067161421,1.1412429932197121,1.156589788506997,1.2015966319878737,1.2459366224434067,1.118033988749895,1.8973665961010273,59.0,54.0
Neo,12.png,0.0632314062439252,0.05485789821546596,0.013889428871350258,0.009530150460713037,1.0706040453940167,1.0825149258098554,1.1246507864912259,1.1395879916698957,1.3930679551792167,1.171451683426439,1.5,1.7888543819998317,72.0,57.0
Neo,13.png,0.04473957776719875,0.050189936752518725,0.016822275549164958,0.008496147830057612,1.0757045890231005,1.0833958522119183,1.120394527561291,1.159090233955864,1.2083677193582651,1.1937560519728467,1.414213562373095,1.414213562373095,80.0,52.0
Neo,14.png,0.124241097489784,0.11370889278069664,0.0277048063825647,0.01961957579295583,1.0796691275336339,1.0806703147990966,1.1322211538337177,1.1294076625259195,1.3057247678863921,1.1923249972547307,1.5,1.8439088914585773,208.0,135.0
Neo,15.png,0.04066912290777415,0.03510121043691565,0.010615049911662927,0.006429381445807761,1.1035777623517327,1.0942265991895421,1.1907879380280761,1.1521121517371224,1.4575969542902223,1.1643148623308086,1.118033988749895,1.4142135623730951,26.0,27.0
Neo,16.png,0.05894057777821023,0.04769735241746373,0.014488241074990513,0.007370612904167437,1.074458053624904,1.0919665845839834,1.1246733450775646,1.1553120602730276,1.215900046207392,1.1965077242770332,1.118033988749895,1.414213562373095,58.0,29.0
Neo,17.png,0.06735930314606195,0.0746490182242877,0.02031192973065038,0.013664566047835714,1.0734640114597953,1.081690396068968,1.1277470802168421,1.1484548917648283,1.2081056274708752,1.2457524503491324,1.5811388300841895,1.8027756377319946,101.0,77.0
Neo,18.png,0.05411597600898933,0.0379225302441421,0.01276893815942445,0.006839286496057438,1.0804620460982712,1.0878039121058243,1.1218635962789723,1.129001560218464,1.1310902713572113,1.1617655482481088,1.4142135623730951,1.6124515496597098,67.0,20.0
Neo,19.png,0.05916236474465541,0.04767598992815547,0.016079952557334656,0.01000865245331078,1.0845064731446052,1.080619222203203,1.2302052470252605,1.148206478197722,1.2939661866284375,1.2571534548170449,1.118033988749895,1.5,56.0,47.0
Neo,2.png,0.041196174571581146,0.03378804796349337,0.00781591339385407,0.0057381426282829264,1.080969482655974,1.0820405075560595,1.1380711874576983,1.141852575750488,1.1702722681547344,1.1596359977559405,1.3416407864998738,1.2747548783981961,32.0,33.0
Neo,20.png,0.07574018597050929,0.05857292923005097,0.01642804341905614,0.010995798155857293,1.080738800266151,1.081935484195015,1.1298630523134034,1.1335091784676858,1.1722329266904836,1.2298522776039724,1.5,2.0,137.0,67.0
Neo,21.png,0.058185811680896454,0.04752440606640783,0.014728678403607578,0.008285185311168236,1.077392451673258,1.0809794256145142,1.1139621663498214,1.133813048041877,1.1811315413352057,1.1526467462113683,1.118033988749895,1.7888543819998317,59.0,29.0
Neo,22.png,0.0631640828066016,0.0727594265142424,0.01915667860214061,0.013763852518352613,1.0770954750511077,1.088205584506568,1.1303128152163036,1.1448325073983259,1.2424016325543716,1.2952494918758715,1.0,1.8027756377319946,68.0,78.0
Neo,23.png,0.07823997743311399,0.07468472017547699,0.0205436479565782,0.013233727767483256,1.0755663748520856,1.0815687672043084,1.120979553744789,1.15641582726499,1.230958345097559,1.3150952763110701,1.118033988749895,1.7888543819998317,107.0,81.0
Neo,24.png,0.09036189197062991,0.09815375347498259,0.02174610777260405,0.016857677551242106,1.0809115716366249,1.078472275373537,1.116384376102475,1.1261212131035863,1.1670263031318602,1.201880222603604,1.4142135623730951,1.414213562373095,130.0,104.0
Neo,25.png,0.06502608036833056,0.05480277024992472,0.015531660692951015,0.009669648667812843,1.0765461481777474,1.0824151376525273,1.112222789442601,1.1150881900223384,1.1627855291743077,1.249296790895521,1.4142135623730951,1.6124515496597098,73.0,35.0
Neo,26.png,0.06146778744130259,0.06878098762194737,0.013922274181878221,0.010896959631717728,1.0800731409819888,1.0885805540276943,1.1274885823320908,1.1514788307485175,1.1730933335494476,1.1778974536338613,1.4142135623730951,1.457737973711325,61.0,60.0
Neo,27.png,0.07890598756627022,0.08708479180561708,0.022754601794468598,0.015481308024477993,1.0787817140230542,1.0871807858957179,1.116759582885068,1.14503052886742,1.3128280617717645,1.1789370359469886,1.118033988749895,1.7888543819998317,158.0,100.0
Neo,28.png,0.07159932422234448,0.06404794710627919,0.016982078259726474,0.010701435784082223,1.0808071780787114,1.081265203824216,1.1066311781259839,1.1231158207911196,1.160768872884426,1.1506474593529732,1.4142135623730951,1.7888543819998317,77.0,63.0
Neo,29.png,0.04560956887589028,0.07621675719268925,0.011470408193009901,0.012335182720055968,1.0814922241015323,1.0802571268101813,1.0987949608092766,1.1739715984146901,1.1905139836314003,1.2212661187773286,1.118033988749895,1.7677669529663687,60.0,115.0
Neo,3.png,0.07416852464431264,0.07428024617596626,0.016544501600532377,0.012619675618961573,1.077836711488144,1.0841424208144494,1.119059828741154,1.1367280053405135,1.154532586894427,1.160027849999162,1.4142135623730951,1.7888543819998317,79.0,64.0
Neo,30.png,0.1039578914595941,0.12419976260434706,0.02562219065595143,0.02302445953571637,1.0745139248747102,1.080574495076119,1.1183511238153236,1.1408347508789067,1.34471222556228,1.2736867486072976,1.118033988749895,1.7888543819998317,127.0,205.0
Neo,31.png,0.07081817166009999,0.07273716581566968,0.017212648843502383,0.011897763764532129,1.0764566116040044,1.0817287300873375,1.1015548859501465,1.1295157847607964,1.1487735762994031,1.182505353975385,1.118033988749895,1.8973665961010273,93.0,62.0
Neo,32.png,0.07399581274925557,0.09555869680321379,0.019153514716097598,0.015801771080767305,1.074985345384552,1.076026220123151,1.1267838172040956,1.1387706090854506,1.231203430244775,1.3011115032389056,1.118033988749895,1.414213562373095,99.0,92.0
Neo,33.png,0.06943992382691999,0.0897171199968909,0.016570559687534916,0.01389381433783344,1.079225420778344,1.0796691275336336,1.1285216895746255,1.1183163297705523,1.1701790680783466,1.1523959846840366,1.4142135623730951,1.7677669529663687,101.0,90.0
Neo,34.png,0.09775111715562464,0.12078880901496017,0.022746259957256654,0.020885952982319798,1.073750619213249,1.0815939099178338,1.107770013848213,1.1373338563761777,1.1864334783379091,1.2079680457001656,1.4142135623730951,1.8439088914585773,174.0,136.0
Neo,35.png,0.09885900134664093,0.11621948788752388,0.024895841942274316,0.019694015955507373,1.0778367114881444,1.0809870717196186,1.1153640543591024,1.1230987901922027,1.208056614432504,1.2474608008854684,1.118033988749895,1.7888543819998317,110.0,125.0
