camera,feature,n_evaluable,icc21,icc_lo,icc_hi,bias,loa_lo,loa_hi,mae,median_ae,expert_mean
RetCam,vessel_density_fov,50,0.8718601457831232,0.7891897877239877,0.9945955905324717,0.015774934835077973,-0.017552344965592766,0.04910221463574871,0.019203817161269555,0.019483042719737123,0.09641205821838585
RetCam,skel_density_fov,50,0.9328941065500257,0.8857363267786421,0.9984320465675447,-0.0015502818683853375,-0.0054877769530098765,0.002387213216239202,0.0016129116334303822,0.0013338643186194478,0.016355524383317138
RetCam,tort_geodesic_median,50,0.257539261321467,-0.021519857013733736,0.482553785713186,0.0012014323260469606,-0.019907913328859116,0.022310777980953034,0.006330322615956234,0.003970648220538275,1.083763352412379
RetCam,tort_geodesic_p90,50,0.30912222317126425,0.037110727699799666,0.5646355112566834,-0.006033749368344154,-0.08212639028525441,0.07005889154856611,0.02712422530691907,0.0184434214425907,1.146531115932052
RetCam,tort_geodesic_top3_mean,50,0.20683962772328557,-0.04888926443158844,0.4021686354277264,-0.11572786780446886,-0.741624940619129,0.5101692050101913,0.16173487971936043,0.040944041755060834,1.3399261794179498
RetCam,width_shape_p90_over_p50,50,0.05447340830632408,-0.0470828331811922,0.11793966847932726,0.3340759864658926,-0.1533303951807159,0.8214823681125011,0.3469638330809518,0.3100461608893629,1.3032600384055635
RetCam,n_branches,50,0.7382318753283493,0.5836322385780869,0.9582578380517447,10.04,-49.6715476938925,69.75154769389249,22.84,16.5,67.7
Neo,vessel_density_fov,50,0.7743166413070938,0.6332067989487401,0.967674018889577,6.527896825149072e-05,-0.030208976816927257,0.03033953475343024,0.012863132020381154,0.010596805161787994,0.06827301095429891
Neo,skel_density_fov,50,0.5473005352895488,0.3909227761883714,0.9435334442021217,-0.005031728584469061,-0.01001988408857769,-4.357308036043086e-05,0.005066319565550904,0.005258355532868598,0.016704613750810143
Neo,tort_geodesic_median,50,0.21758291380817094,0.02336029965641507,0.4462914650652749,0.005063923705834337,-0.007389366672265762,0.017517214083934435,0.005926955554308058,0.005058618958370675,1.0789624373931985
Neo,tort_geodesic_p90,50,0.24752735673831258,-0.007865604679451327,0.473286677038937,0.013092464744180861,-0.057532368934151264,0.08371729842251299,0.026290117879303212,0.018316090447430433,1.1302547133681806
Neo,tort_geodesic_top3_mean,50,0.24806015374685303,-0.024017661198117768,0.46899845669760604,-0.020097054684887764,-0.20259457921622356,0.16240046984644804,0.06803535338110947,0.04609793900222725,1.2330373403671206
Neo,width_shape_p90_over_p50,50,0.13577713180616266,0.01130317194056816,0.31109462419115136,0.3339524432091555,-0.15358441462172323,0.8214893010400343,0.3488832376006624,0.29617957362320024,1.2933472566056592
Neo,n_branches,50,0.6744245075795688,0.5009886530664532,0.9373492801660679,-15.46,-72.66395203130637,41.74395203130637,25.22,17.5,84.6
pooled,vessel_density_fov,100,0.8801408981063096,0.8276632683278706,0.9930246293651933,0.00792010690166473,-0.027333189569710044,0.04317340337303951,0.01603347459082536,0.013707167913460876,0.08234253458634237
pooled,skel_density_fov,100,0.765741427819388,0.6803348253598297,0.9823636641298639,-0.0032910052264271995,-0.008925443560270802,0.002343433107416403,0.0033396155994906435,0.002510565874334004,0.01653006906706364
pooled,tort_geodesic_median,100,0.255944136048105,0.07766150547856387,0.487408342303169,0.003132678015940649,-0.014524712975719393,0.02079006900760069,0.006128639085132146,0.0041524546182230004,1.081362894902789
pooled,tort_geodesic_p90,100,0.26997153094575127,0.07832721316404037,0.5031556500863872,0.003529357687918353,-0.07189888035968646,0.07895759573552318,0.026707171593111142,0.0184434214425907,1.1383929146501162
pooled,tort_geodesic_top3_mean,100,0.21449804806176492,0.03004133577640317,0.41377817787094245,-0.0679124612446783,-0.5361552774827721,0.4003303549934155,0.11488511655023494,0.04366221543990456,1.286481759892535
pooled,width_shape_p90_over_p50,100,0.09629887163047027,0.013346360103271036,0.21690409275876907,0.334014214837524,-0.15098919791638837,0.8190176275914365,0.34792353534080706,0.3063839516859934,1.2983036475056113
pooled,n_branches,100,0.7005456710903347,0.5850594453664807,0.939729712315871,-2.71,-66.07524728169777,60.655247281697775,24.03,16.5,76.15
