camera,subset,image,dice,cldice,precision,recall,gt_frac,pred_frac
Neo,Neo_Vessels_images,1.png,0.49923077494778934,0.5430329004742064,0.4896560773279293,0.509187386294724,0.047549019607843135,0.04944564590542099
Neo,Neo_Vessels_images,10.png,0.47038294661384644,0.4755458649495692,0.49659938460312875,0.4467957390003315,0.05364138792772011,0.0482617262591311
Neo,Neo_Vessels_images,11.png,0.5804792491289612,0.6554347651001159,0.5431171745754367,0.6233614839928122,0.04720371972318339,0.054177960399846216
Neo,Neo_Vessels_images,12.png,0.5466255456787946,0.5823094539082558,0.5872877860638286,0.5112293861074858,0.049526864667435604,0.04311274509803922
Neo,Neo_Vessels_images,13.png,0.4777283423560122,0.5208917232840613,0.45350121762907175,0.504690100186789,0.0353770184544406,0.03937019415609381
Neo,Neo_Vessels_images,14.png,0.5246847430273407,0.5913035280701485,0.5497783857434445,0.5017818171093765,0.09777201076509034,0.08923635140330642
Neo,Neo_Vessels_images,15.png,0.5592355807724666,0.6333971589578782,0.6022919274777417,0.521924500819324,0.03167435601691657,0.02744785659361784
Neo,Neo_Vessels_images,16.png,0.46236853242890746,0.4958713102889848,0.5154876772656947,0.4191741490916684,0.04603037293348712,0.037430074971164934
Neo,Neo_Vessels_images,17.png,0.5539672880904483,0.6160517254599607,0.5249489037913797,0.5863815780425524,0.05241517685505575,0.05854911572472126
Neo,Neo_Vessels_images,18.png,0.47532733796188437,0.5212995099081866,0.5774929235746057,0.40387660912649037,0.042484621299500196,0.029712129950019223
Neo,Neo_Vessels_images,19.png,0.5185654274432492,0.5862243397417377,0.5804450602672414,0.46860839077542943,0.04639874086889658,0.037458910034602076
Neo,Neo_Vessels_images,2.png,0.47752115978846316,0.5296303894325426,0.5318925095908799,0.43323483785181355,0.03252835447904652,0.026494857747020376
Neo,Neo_Vessels_images,20.png,0.5119882734792168,0.584947333223739,0.5874395428762444,0.45371296714645326,0.05956555171088043,0.046005863129565554
Neo,Neo_Vessels_images,21.png,0.4598552667157058,0.5048124944077921,0.5097558931782876,0.418853214410559,0.045368608227604766,0.03727821030372933
Neo,Neo_Vessels_images,22.png,0.5270927035632919,0.5990255524665412,0.48914697401494706,0.571420855184334,0.04893598615916955,0.05716695501730104
Neo,Neo_Vessels_images,23.png,0.5045661640596361,0.5325163675838478,0.513441389148507,0.4959925553399596,0.06068098808150711,0.05861880046136102
Neo,Neo_Vessels_images,24.png,0.5166127135720884,0.6183125359059044,0.48472482530253946,0.5529915668453034,0.07035106689734717,0.08025903498654363
Neo,Neo_Vessels_images,25.png,0.48767096800455917,0.5460772989879182,0.5343469316072056,0.4484943494232434,0.05134924067666282,0.04309904844290657
Neo,Neo_Vessels_images,26.png,0.47363014180571256,0.5552074137556487,0.44908797352654684,0.5010097802301405,0.04842584582852749,0.05402465397923875
Neo,Neo_Vessels_images,27.png,0.5238878461983338,0.587784549218775,0.5009281142901423,0.5490533695719315,0.06224144559784698,0.0682211168781238
Neo,Neo_Vessels_images,28.png,0.4954196750902527,0.537141755811262,0.525101160354707,0.46891417441890265,0.056258650519031145,0.05023885044213764
Neo,Neo_Vessels_images,29.png,0.4136375270376746,0.43554405349249,0.3305142518005229,0.5526195808134311,0.03583861976163014,0.05992214532871972
Neo,Neo_Vessels_images,3.png,0.4487921650385032,0.4853406116378722,0.4484411087827351,0.4491437713644817,0.058274942329873125,0.05836625336409074
Neo,Neo_Vessels_images,30.png,0.4881905610355598,0.5403424082991332,0.4487164941842684,0.535279683656777,0.08167147251057286,0.09742695117262591
Neo,Neo_Vessels_images,31.png,0.4826706421041423,0.5388060572635633,0.4774200887271073,0.48803796841420716,0.05579416570549788,0.05703503460207612
