comparison,metric,delta,ci95_lo,ci95_hi,p_two_sided_null_centered,ci_crosses_zero,replicates,seed
K1_minus_K0_plus,restricted_binary_auc,0.000485459884436934,0.00014632866028851667,0.0009004992434232942,0.0123,False,10000,42
K1_minus_K0_plus,balanced_accuracy,0.00018853695324283493,-0.0009426847662141746,0.0013197586726998445,0.8088,True,10000,42
K1_minus_K0_plus,macro_f1,-0.0032730040249303594,-0.005930277083556243,-0.0007555946761039636,0.0137,False,10000,42
K1_minus_K0_plus,brier_restricted_2class,0.0051205549688218,0.004792101003607761,0.005450707234980923,0.0,False,10000,42
K1_minus_K0_plus,ece,-0.0009681422700358877,-0.002998056364587638,0.001083837637795677,0.3546,True,10000,42
K1_minus_Task11E_plus,restricted_binary_auc,0.005229243933421279,0.0034215965588515447,0.007116738681103518,0.0,False,10000,42
K1_minus_Task11E_plus,balanced_accuracy,0.03994706392404601,0.02900029646752786,0.05191499351505747,0.0,False,10000,42
K1_minus_Task11E_plus,macro_f1,-0.01781693311160304,-0.028106797235068506,-0.007134936912386824,0.0009,False,10000,42
K1_minus_Task11E_plus,brier_restricted_2class,0.04740501413262427,0.043041483492995136,0.05181554942045679,0.0,False,10000,42
K1_minus_Task11E_plus,ece,0.2145365955814226,0.20609272739466605,0.2183617582879699,0.0,False,10000,42
K1_minus_K0_farfum_rop,multiclass_auc,-0.0027960251399417047,-0.006546223903369697,0.000985257063893718,0.1428,True,10000,42
K1_minus_K0_farfum_rop,balanced_accuracy,0.0027270162556076727,-0.007247344705503636,0.012701307680387134,0.5865,True,10000,42
K1_minus_K0_farfum_rop,macro_f1,-0.012262083648305055,-0.02373983185479979,-0.0012397562943556627,0.0317,False,10000,42
K1_minus_K0_farfum_rop,brier_multiclass_3col,0.05425332416162931,0.048319396749255936,0.0601517320957994,0.0,False,10000,42
K1_minus_K0_farfum_rop,ece,0.03907935631446807,0.030697571939705855,0.051016339692847856,0.0,False,10000,42
K1_minus_Task11E_farfum_rop,multiclass_auc,0.020350103114275875,0.01019044342595284,0.0305811774119111,0.0001,False,10000,42
K1_minus_Task11E_farfum_rop,balanced_accuracy,-0.03534054921781549,-0.05565039317828729,-0.014499949337815532,0.0011,False,10000,42
K1_minus_Task11E_farfum_rop,macro_f1,-0.09962462712201581,-0.12270348696124889,-0.07619734049124716,0.0,False,10000,42
K1_minus_Task11E_farfum_rop,brier_multiclass_3col,0.18950547383410987,0.16368512827589685,0.21447521953559598,0.0,False,10000,42
K1_minus_Task11E_farfum_rop,ece,0.11637387179740896,0.09209374984524993,0.14078080038599564,0.0,False,10000,42
K1_minus_K0_farabi,multiclass_auc,-0.0008832051638261174,-0.002439492154450068,0.0006852289780169274,0.2588,True,10000,42
K1_minus_K0_farabi,balanced_accuracy,-0.002692040194738121,-0.01073499614729457,0.005277321375344897,0.5089,True,10000,42
K1_minus_K0_farabi,macro_f1,0.0023563252847396132,-0.007202006535433186,0.012421324285268251,0.6351,True,10000,42
K1_minus_K0_farabi,brier_multiclass_3col,-0.004839497426336492,-0.007563200744342702,-0.0021403409526724987,0.0009,False,10000,42
K1_minus_K0_farabi,ece,-0.0005276827756355296,-0.008014793497311237,0.007135814068226915,0.8908,True,10000,42
K1_minus_Task11E_farabi,multiclass_auc,0.008134954254308546,-0.0026675266425227355,0.018738232886895894,0.1373,True,10000,42
K1_minus_Task11E_farabi,balanced_accuracy,-0.05146967293524596,-0.07686068317774866,-0.026469431274440344,0.0001,False,10000,42
K1_minus_Task11E_farabi,macro_f1,-0.06856683730169222,-0.09702545750621434,-0.04086710657640612,0.0,False,10000,42
K1_minus_Task11E_farabi,brier_multiclass_3col,-0.024230892638857693,-0.05071335928740127,0.0025385471668330217,0.0738,True,10000,42
K1_minus_Task11E_farabi,ece,-0.02200038865986459,-0.04899894652153719,-2.9029129415544087e-05,0.0827,False,10000,42
