comparison,metric,delta,ci95_lo,ci95_hi,p_two_sided_null_centered,ci_crosses_zero,replicates,seed
M1_minus_M0,multiclass_auc,0.020935693378585363,0.011425658069037467,0.030828310381581854,0.0,False,10000,42
M1_minus_M0,balanced_accuracy,0.030306417775599837,-0.0030352734502429673,0.0639928498806726,0.0784,True,10000,42
M1_minus_M0,macro_f1,0.040403986700316086,0.010742106025810712,0.07027003650465041,0.008,False,10000,42
M1_minus_M0,brier,-0.04918145594048984,-0.07352880839560423,-0.025357654519208673,0.0,False,10000,42
M1_minus_M0,ece,-0.015801907167857482,-0.034542900036144436,0.001425057542695769,0.0858,True,10000,42
M1_minus_M0,auc_Normal,0.024658757345689564,0.014043543087903223,0.03567955286853897,0.0,False,10000,42
M1_minus_M0,auc_Pre_Plus,0.008762144656351056,-0.0027407940506176676,0.020553106633081464,0.1418,True,10000,42
M1_minus_M0,auc_Plus,0.02938617813371558,0.013795426826668122,0.04555273392523606,0.0002,False,10000,42
M0_minus_B,multiclass_auc,-0.01892545377993682,-0.0325939305263461,-0.005639820133908669,0.0063,False,10000,42
M0_minus_B,balanced_accuracy,-0.029564027639919943,-0.06849118027432963,0.00886877383701812,0.1369,True,10000,42
M0_minus_B,macro_f1,-0.03690051602755018,-0.07145828536194458,-0.0029035505269176137,0.0355,False,10000,42
M0_minus_B,brier,0.037286422679175035,0.0057515968922815155,0.06926726482128714,0.0218,False,10000,42
M0_minus_B,ece,0.013462254198448959,-0.007924242833273759,0.03642205999150983,0.2304,True,10000,42
M0_minus_B,auc_Normal,-0.014600925542282539,-0.03009471343787018,0.0006687714097305646,0.0639,True,10000,42
M0_minus_B,auc_Pre_Plus,-0.018507856543120926,-0.03561832793570818,-0.001907160849226483,0.0319,False,10000,42
M0_minus_B,auc_Plus,-0.02366757925440721,-0.04440560260641879,-0.004405048230688548,0.0205,False,10000,42
M1_minus_E,multiclass_auc,-0.005927982262446507,-0.015565101967279773,0.0034768867586814803,0.221,True,10000,42
M1_minus_E,balanced_accuracy,-0.010881582775676524,-0.049272598270347245,0.026804294340739908,0.5775,True,10000,42
M1_minus_E,macro_f1,-0.012411542877166504,-0.04617381702628411,0.020216471913256123,0.4602,True,10000,42
M1_minus_E,brier,0.015798145384987777,-0.009155050369966371,0.04143127838515385,0.2195,True,10000,42
M1_minus_E,ece,0.008335433972740197,-0.009550654669980554,0.027293374911378607,0.3776,True,10000,42
M1_minus_E,auc_Normal,-0.0008432588892324233,-0.011487797547838255,0.009736868212349429,0.8775,True,10000,42
M1_minus_E,auc_Pre_Plus,-0.01389588581024348,-0.029141177881731987,0.0010436907760586428,0.0712,True,10000,42
M1_minus_E,auc_Plus,-0.0030448020878640625,-0.015053753123694046,0.008674594239609668,0.6104,True,10000,42
M1_minus_G,multiclass_auc,-0.007966989573096939,-0.017442678908677334,0.0013055239608903858,0.0949,True,10000,42
M1_minus_G,balanced_accuracy,-0.014727477831776414,-0.052494910670492216,0.022739982129921996,0.4428,True,10000,42
M1_minus_G,macro_f1,-0.01700342047132697,-0.049910349254865455,0.015754312192695227,0.3123,True,10000,42
M1_minus_G,brier,0.017872893744811047,-0.007002235848366852,0.04362828138170059,0.1601,True,10000,42
M1_minus_G,ece,0.00839799441601588,-0.010268248147780913,0.02641848083915553,0.3581,True,10000,42
M1_minus_G,auc_Normal,-0.003215471612229237,-0.013708172608383695,0.0070498193850336965,0.5482,True,10000,42
M1_minus_G,auc_Pre_Plus,-0.015167326376394397,-0.030322957898524683,-8.351325416827526e-05,0.0498,False,10000,42
M1_minus_G,auc_Plus,-0.005518170730667182,-0.017198973978456246,0.005607830343968829,0.3359,True,10000,42
