n,classes_present,multiclass_auc,macro_ovr_auc,balanced_accuracy,macro_f1,brier,ece,auc_Normal,auc_Pre_Plus,auc_Plus,model,source
889,"[0, 2]",,,0.6293717768401312,0.6315704420760547,0.19481860906577872,0.08212578554791725,0.8542272230035943,,0.8665260196905766,M0_ROPDEEPX_EMBEDDING_ONLY,plus
889,"[0, 2]",,,0.7411314267854352,0.7437063997573552,0.13406166309482181,0.05261000477959252,0.9110642287857478,,0.9179871854977342,M1_ROPDEEPX_PLUS_VESSEL,plus
889,"[0, 2]",,,0.6809345210189093,0.6647550675077702,0.22046216047879572,0.11795325924226482,0.8503828723238006,,0.8832317549617127,L_ROPDEEPX_STYLE_RGB,plus
889,"[0, 2]",,,0.6704328801375214,0.6656688636061464,0.1734063265304715,0.06203436977502805,0.8776840131270511,,0.8911704953899047,B_EMBEDDING_ONLY,plus
889,"[0, 2]",,,0.7201359587435536,0.7323062843197072,0.13562219002027218,0.053584781046119176,0.8985779027973122,,0.9091576808876386,E_RGB_VESSEL_FEATURE_FUSION,plus
889,"[0, 2]",,,0.7195186747929364,0.7286070735152252,0.13629852378568744,0.052189312857142844,0.9089076418190343,,0.9154242850445382,G_RGB_VESSEL_SCALAR_FUSION,plus
230,"[0, 1, 2]",0.8515556217105754,0.8515556217105754,0.7073952470293934,0.701445908265223,0.46746758272757183,0.16121101508969848,0.8432039936464715,0.7421765119549929,0.969286359530262,M0_ROPDEEPX_EMBEDDING_ONLY,farfum_rop
230,"[0, 1, 2]",0.8688041112700454,0.8688041112700454,0.7367104440275173,0.7231689213011933,0.43231110815426654,0.1621692474769509,0.8574237954768928,0.7711849507735583,0.9778035875596851,M1_ROPDEEPX_PLUS_VESSEL,farfum_rop
230,"[0, 1, 2]",0.8058992856372074,0.8058992856372074,0.6400875547217011,0.6149112548713447,0.4892331298090065,0.0964906958134278,0.8211179184630512,0.662007735583685,0.9345722028648857,L_ROPDEEPX_STYLE_RGB,farfum_rop
230,"[0, 1, 2]",0.8652366490094549,0.8652366490094549,0.7203894795358209,0.7206591913013932,0.46634735169868397,0.20535422569565223,0.8515240904621436,0.7819971870604782,0.9621886695057427,B_EMBEDDING_ONLY,farfum_rop
230,"[0, 1, 2]",0.8732939311960001,0.8732939311960001,0.7406278229448962,0.7350613217612841,0.4159249628446431,0.16984720565217393,0.8525830118750473,0.78665611814346,0.9806426635694928,E_RGB_VESSEL_FEATURE_FUSION,farfum_rop
230,"[0, 1, 2]",0.8703209921432865,0.8703209921432865,0.7342175665346398,0.7299793158179707,0.42731524445374625,0.1703032699130435,0.8528099236063837,0.7813818565400844,0.9767711962833914,G_RGB_VESSEL_SCALAR_FUSION,farfum_rop
212,"[0, 1, 2]",0.7337502404619399,0.7337502404619399,0.539961745678864,0.536558522346636,0.6445720124347811,0.2424975996309856,0.6862767805442965,0.6497140522875817,0.8652598885539416,M0_ROPDEEPX_EMBEDDING_ONLY,farabi
212,"[0, 1, 2]",0.7563916249494094,0.7563916249494094,0.5667928458410944,0.5680691873008975,0.628715391035012,0.2665525664979557,0.7192819918934568,0.6767769607843137,0.8731159221704576,M1_ROPDEEPX_PLUS_VESSEL,farabi
212,"[0, 1, 2]",0.7137276556817408,0.7137276556817408,0.4937901820585231,0.47465218219935207,0.5733781347483462,0.1455204240837187,0.6965836711059641,0.6173406862745098,0.8272586096647484,L_ROPDEEPX_STYLE_RGB,farabi
212,"[0, 1, 2]",0.8304000320554527,0.8304000320554527,0.6689358889623266,0.6705903465263593,0.5014821243430375,0.1795654702830189,0.8367110596409959,0.759906045751634,0.894582990773728,B_EMBEDDING_ONLY,farabi
212,"[0, 1, 2]",0.8214372148966437,0.8214372148966437,0.6094924793206352,0.6128836807569839,0.5407633791343955,0.21654679900943385,0.8181818181818181,0.7473447712418301,0.898785055266283,E_RGB_VESSEL_FEATURE_FUSION,farabi
212,"[0, 1, 2]",0.8328758318426703,0.8328758318426703,0.6374762162270424,0.6393526152562297,0.5125439661416,0.19889702688679256,0.8295309785755645,0.768484477124183,0.9006120398282634,G_RGB_VESSEL_SCALAR_FUSION,farabi
