model,n,multiclass_auc,macro_ovr_auc,balanced_accuracy,macro_f1,brier,ece,auc_Normal,auc_Pre_Plus,auc_Plus,source
D_VESSEL_MAP,889,,,0.7397640256290046,0.4388738306792084,0.291797984879533,0.07074108780167905,0.8164088138771682,,0.8545397718393498,plus
E_RGB_VESSEL_FEATURE_FUSION,889,,,0.7201359587435536,0.4882041895464715,0.13562219001741754,0.05358472784941325,0.8985779027973122,,0.9091576808876386,plus
F_RGB_VESSEL_LATE_FUSION,889,,,0.6704328801375214,0.6656688636061464,0.17340632654288288,0.06203436760988221,0.8776840131270511,,0.8911704953899047,plus
G_RGB_VESSEL_SCALAR_FUSION,889,,,0.7195186747929364,0.7286070735152252,0.13629852399934644,0.052189334036931156,0.9089076418190343,,0.9154242850445382,plus
D_VESSEL_MAP,230,0.8204248309456338,0.8204248309456338,0.6735546522131889,0.6230823746420077,0.47824400460546806,0.06537135994952659,0.790182285757507,0.6947081575246131,0.9763840495547813,farfum_rop
E_RGB_VESSEL_FEATURE_FUSION,230,0.8732939311960001,0.8732939311960001,0.7406278229448962,0.7350613217612841,0.4159249628209489,0.16984720644743548,0.8525830118750473,0.78665611814346,0.9806426635694928,farfum_rop
F_RGB_VESSEL_LATE_FUSION,230,0.8652366490094549,0.8652366490094549,0.7203894795358209,0.7206591913013932,0.46634735044813874,0.2053541852080304,0.8515240904621436,0.7819971870604782,0.9621886695057427,farfum_rop
G_RGB_VESSEL_SCALAR_FUSION,230,0.8703209921432865,0.8703209921432865,0.7342175665346398,0.7299793158179707,0.4273152460746549,0.17030327112778376,0.8528099236063837,0.7813818565400844,0.9767711962833914,farfum_rop
D_VESSEL_MAP,212,0.6915260385012628,0.6915260385012628,0.5352120010414789,0.5258384055376536,0.6510011660012774,0.14681693011859676,0.6796757382744645,0.5870098039215687,0.8078925733077554,farabi
E_RGB_VESSEL_FEATURE_FUSION,212,0.8214372148966437,0.8214372148966437,0.6094924793206352,0.6128836807569839,0.540763378668997,0.2165468160836202,0.8181818181818181,0.7473447712418301,0.898785055266283,farabi
F_RGB_VESSEL_LATE_FUSION,212,0.8304000320554527,0.8304000320554527,0.6689358889623266,0.6705903465263593,0.501482123132696,0.17956546005213037,0.8367110596409959,0.759906045751634,0.894582990773728,farabi
G_RGB_VESSEL_SCALAR_FUSION,212,0.8328758318426703,0.8328758318426703,0.6374762162270424,0.6393526152562297,0.5125439658378005,0.19889701874750965,0.8295309785755645,0.768484477124183,0.9006120398282634,farabi
