comparison,lhs,rhs,metric,lhs_value,rhs_value,delta_lhs_minus_rhs
D_VESSEL_MAP vs A_PRIMARY,D_VESSEL_MAP,A_PRIMARY,multiclass_auc,0.8372146170734421,0.6595817131339546,0.1776329039394875
D_VESSEL_MAP vs A_PRIMARY,D_VESSEL_MAP,A_PRIMARY,balanced_accuracy,0.6200316798290858,0.4984956605548309,0.12153601927425489
D_VESSEL_MAP vs A_PRIMARY,D_VESSEL_MAP,A_PRIMARY,macro_f1,0.5887355845085315,0.43463508652728905,0.15410049798124242
D_VESSEL_MAP vs A_PRIMARY,D_VESSEL_MAP,A_PRIMARY,brier,0.38122973438708735,0.5674779631837089,-0.18624822879662156
D_VESSEL_MAP vs A_PRIMARY,D_VESSEL_MAP,A_PRIMARY,ece,0.0800102950112697,0.05018113425244174,0.02982916075882796
D_VESSEL_MAP vs A_PRIMARY,D_VESSEL_MAP,A_PRIMARY,auc_Normal,0.8228135084821924,0.6531521542492662,0.16966135423292616
D_VESSEL_MAP vs A_PRIMARY,D_VESSEL_MAP,A_PRIMARY,auc_Pre_Plus,0.829884850665707,0.766387789372676,0.06349706129303101
D_VESSEL_MAP vs A_PRIMARY,D_VESSEL_MAP,A_PRIMARY,auc_Plus,0.8589454920724271,0.5592051957799214,0.29974029629250565
E_RGB_VESSEL_FEATURE_FUSION vs B_EMBEDDING_ONLY,E_RGB_VESSEL_FEATURE_FUSION,B_EMBEDDING_ONLY,multiclass_auc,0.9328413301919772,0.9249031083308822,0.007938221861095052
E_RGB_VESSEL_FEATURE_FUSION vs B_EMBEDDING_ONLY,E_RGB_VESSEL_FEATURE_FUSION,B_EMBEDDING_ONLY,balanced_accuracy,0.7350486473543607,0.7234246744430043,0.011623972911356417
E_RGB_VESSEL_FEATURE_FUSION vs B_EMBEDDING_ONLY,E_RGB_VESSEL_FEATURE_FUSION,B_EMBEDDING_ONLY,macro_f1,0.7245707274520834,0.708655713902151,0.01591501354993241
E_RGB_VESSEL_FEATURE_FUSION vs B_EMBEDDING_ONLY,E_RGB_VESSEL_FEATURE_FUSION,B_EMBEDDING_ONLY,brier,0.24858956029961063,0.2762827389459132,-0.02769317864630258
