comparison,metric,delta,ci95_lo,ci95_hi,p_two_sided_null_centered,ci_crosses_zero,replicates,seed
H_minus_E,multiclass_auc,-0.007016240875444613,-0.016296270469728764,0.0019993842802599974,0.1311,True,10000,42
H_minus_E,balanced_accuracy,-0.07760012881676503,-0.11276099606078713,-0.042519161261791893,0.0,False,10000,42
H_minus_E,macro_f1,-0.04053314359603177,-0.07437741070857529,-0.007469230373650172,0.0169,False,10000,42
H_minus_E,brier,0.027345518424431864,0.002995622338290084,0.051528824098361244,0.0281,False,10000,42
H_minus_E,ece,0.023769665657415687,0.006476414019586511,0.04151398305855686,0.0083,False,10000,42
H_minus_E,auc_Normal,-0.0012473812288821273,-0.011427799240191822,0.00886884406421612,0.8016,True,10000,42
H_minus_E,auc_Pre_Plus,-0.022010315461197028,-0.03778967254408072,-0.00658495262084685,0.0055,False,10000,42
H_minus_E,auc_Plus,0.002208974063744873,-0.007697293793550333,0.012196372676952501,0.674,True,10000,42
I_minus_H,multiclass_auc,-0.009578028983057596,-0.01627309502840047,-0.0028538306132969786,0.0049,False,10000,42
I_minus_H,balanced_accuracy,0.015579566394230304,-0.013382050293294895,0.045034764517292165,0.2933,True,10000,42
I_minus_H,macro_f1,0.013742743392832213,-0.015332923852235378,0.043408368041358725,0.3519,True,10000,42
I_minus_H,brier,0.0027114732738303116,-0.01730674786100786,0.024148557045726285,0.7953,True,10000,42
I_minus_H,ece,-0.0007052074062654373,-0.015489198864737855,0.014349470382722874,0.9209,True,10000,42
I_minus_H,auc_Normal,-0.00579776959482714,-0.01331429921976669,0.001656026237314543,0.1279,True,10000,42
I_minus_H,auc_Pre_Plus,0.0209787693414899,0.012347966894566296,0.03022085282475701,0.0001,False,10000,42
I_minus_H,auc_Plus,-0.04391508669583544,-0.054401423466298275,-0.0340469854753558,0.0,False,10000,42
H_minus_G,multiclass_auc,-0.009055248186095044,-0.018392874510876095,9.4419886064233e-05,0.0549,True,10000,42
H_minus_G,balanced_accuracy,-0.08144602387286493,-0.11582071383791827,-0.04688418010866837,0.0,False,10000,42
H_minus_G,macro_f1,-0.04512502119019224,-0.07869792284494703,-0.012035481027113354,0.0083,False,10000,42
H_minus_G,brier,0.029420266784255134,0.005381050809640471,0.054015806794885074,0.017,False,10000,42
H_minus_G,ece,0.02383222610069137,0.006297259245386589,0.04044085694705611,0.0063,False,10000,42
H_minus_G,auc_Normal,-0.003619593951878941,-0.01367159005363006,0.006393412368185985,0.4765,True,10000,42
H_minus_G,auc_Pre_Plus,-0.023281756027347944,-0.0394929231138299,-0.007662828355523575,0.0034,False,10000,42
H_minus_G,auc_Plus,-0.0002643945790582469,-0.010622798488686516,0.009906907521599366,0.9623,True,10000,42
I_minus_G,multiclass_auc,-0.01863327716915264,-0.027954588836079344,-0.009288825290225504,0.0002,False,10000,42
I_minus_G,balanced_accuracy,-0.06586645747863462,-0.10009660909355408,-0.031468656133947295,0.0001,False,10000,42
I_minus_G,macro_f1,-0.031382277797360025,-0.06309800954049254,0.00048506706600157307,0.0541,True,10000,42
I_minus_G,brier,0.032131740058085445,0.006751729938194523,0.057740809049546926,0.0143,False,10000,42
I_minus_G,ece,0.023127018694425933,0.004598949018293791,0.040365311301633275,0.0115,False,10000,42
I_minus_G,auc_Normal,-0.009417363546706081,-0.018944255918860457,0.00013568006349229665,0.0531,True,10000,42
I_minus_G,auc_Pre_Plus,-0.002302986685858044,-0.015419215545160018,0.010286523929471202,0.72,True,10000,42
I_minus_G,auc_Plus,-0.044179481274893684,-0.0597666078175507,-0.028955151003420176,0.0,False,10000,42
