epoch,stage,train_loss,val_loss,val_auc,val_macro_f1,seconds,ckpt,model
1,1,0.39255887765317854,0.9316310031298851,0.8642217875240198,0.5847425367410256,40.3,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/H_JOINT_RGB_VESSEL_stage1_epoch1.pth,H_JOINT_RGB_VESSEL
2,1,0.33123675163990834,1.2947802221228428,0.8665741907975674,0.5761045704663469,37.5,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/H_JOINT_RGB_VESSEL_stage1_epoch2.pth,H_JOINT_RGB_VESSEL
3,1,0.29204786465703414,1.2093559956537134,0.8460596217940375,0.5749952508772637,37.6,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/H_JOINT_RGB_VESSEL_stage1_epoch3.pth,H_JOINT_RGB_VESSEL
4,2,0.2658109119245742,1.3087634772762897,0.8842843596077407,0.6044540976386971,63.6,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/H_JOINT_RGB_VESSEL_stage2_epoch4.pth,H_JOINT_RGB_VESSEL
5,2,0.23116176041522066,2.0687280269047164,0.8562171165657135,0.49245721066623765,64.5,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/H_JOINT_RGB_VESSEL_stage2_epoch5.pth,H_JOINT_RGB_VESSEL
6,2,0.1868682798156138,1.4510898226242235,0.8804784489327163,0.5519043915470969,65.7,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/H_JOINT_RGB_VESSEL_stage2_epoch6.pth,H_JOINT_RGB_VESSEL
7,2,0.15536704757368705,1.520378887705948,0.8726852349249916,0.5350326406564822,63.7,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/H_JOINT_RGB_VESSEL_stage2_epoch7.pth,H_JOINT_RGB_VESSEL
8,2,0.12230268520961887,1.4609613824433771,0.8796424111806566,0.6017644233778056,66.1,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/H_JOINT_RGB_VESSEL_stage2_epoch8.pth,H_JOINT_RGB_VESSEL
9,2,0.10740440515787048,1.8241122774347622,0.8720636349006105,0.5409427557429518,59.2,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/H_JOINT_RGB_VESSEL_stage2_epoch9.pth,H_JOINT_RGB_VESSEL
10,2,0.08136465399076089,2.8079380703011254,0.8408014226052507,0.4952853475607255,69.5,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/H_JOINT_RGB_VESSEL_stage2_epoch10.pth,H_JOINT_RGB_VESSEL
1,1,0.3817440069732638,1.0162147626653173,0.8693885085962324,0.5940216585059905,44.8,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/I_JOINT_RGB_VESSEL_BIOMARKER_stage1_epoch1.pth,I_JOINT_RGB_VESSEL_BIOMARKER
2,1,0.338344854336486,1.4477427480734006,0.8521627212661945,0.5625470390176273,42.0,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/I_JOINT_RGB_VESSEL_BIOMARKER_stage1_epoch2.pth,I_JOINT_RGB_VESSEL_BIOMARKER
3,1,0.2961241989155537,1.2360697304438106,0.8745922375610148,0.5578381142473757,44.5,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/I_JOINT_RGB_VESSEL_BIOMARKER_stage1_epoch3.pth,I_JOINT_RGB_VESSEL_BIOMARKER
4,2,0.25712605881201883,1.0854606756593166,0.8773966423133469,0.5933300715770582,69.8,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/I_JOINT_RGB_VESSEL_BIOMARKER_stage2_epoch4.pth,I_JOINT_RGB_VESSEL_BIOMARKER
5,2,0.20984857736415735,1.1034931384773183,0.8843565852723873,0.5932149939879409,75.4,/root/niki_rop_task6_isolated/artifacts/task9_joint_multimodal_fusion/I_JOINT_RGB_VESSEL_BIOMARKER_stage2_epoch5.pth,I_JOINT_RGB_VESSEL_BIOMARKER
