epoch,train_loss,val_loss,val_auc,val_macro_f1,seconds,ckpt,model
1,0.40410823700851956,0.6865743068327387,0.9159125125777582,0.671157923787454,0.96,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J0_FROZEN_FUSION_CONTROL_epoch1.pth,J0_FROZEN_FUSION_CONTROL
2,0.2714758161386328,0.9169351939695427,0.9091585278114431,0.6660152534476342,0.43,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J0_FROZEN_FUSION_CONTROL_epoch2.pth,J0_FROZEN_FUSION_CONTROL
3,0.20709754151623805,1.0451877016619027,0.908751711066823,0.6284811621956687,0.44,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J0_FROZEN_FUSION_CONTROL_epoch3.pth,J0_FROZEN_FUSION_CONTROL
4,0.18917583775447297,1.0576896753655858,0.9130661250320183,0.6785780565308125,0.44,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J0_FROZEN_FUSION_CONTROL_epoch4.pth,J0_FROZEN_FUSION_CONTROL
5,0.12609337820135047,1.32656135329281,0.9070892815783732,0.6623058168094483,0.44,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J0_FROZEN_FUSION_CONTROL_epoch5.pth,J0_FROZEN_FUSION_CONTROL
6,0.10705568807539816,1.5765267711087882,0.9038934347535875,0.6297860796576392,0.44,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J0_FROZEN_FUSION_CONTROL_epoch6.pth,J0_FROZEN_FUSION_CONTROL
7,0.09247143556879314,1.6594518983220479,0.8972137310085516,0.6224776612094932,0.45,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J0_FROZEN_FUSION_CONTROL_epoch7.pth,J0_FROZEN_FUSION_CONTROL
8,0.05254474902165507,1.9064804128853672,0.9049145842870064,0.658350486657663,0.44,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J0_FROZEN_FUSION_CONTROL_epoch8.pth,J0_FROZEN_FUSION_CONTROL
9,0.04603963185779783,1.8710944710007633,0.9104781984068006,0.6691395286024533,0.44,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J0_FROZEN_FUSION_CONTROL_epoch9.pth,J0_FROZEN_FUSION_CONTROL
1,0.3987726704614616,0.7145296234682382,0.9166970047930928,0.6644209261926081,0.67,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J1_BIOMARKER_FILM_epoch1.pth,J1_BIOMARKER_FILM
2,0.272766274184003,0.8900129335472383,0.9061068933783317,0.649300407195144,0.6,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J1_BIOMARKER_FILM_epoch2.pth,J1_BIOMARKER_FILM
3,0.21204397267542327,0.9463742712894118,0.9098799644526765,0.6498292169882195,0.62,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J1_BIOMARKER_FILM_epoch3.pth,J1_BIOMARKER_FILM
4,0.17447346861124538,1.2669666330498386,0.908652857437187,0.6535843961746269,0.62,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J1_BIOMARKER_FILM_epoch4.pth,J1_BIOMARKER_FILM
5,0.14004887310166753,1.4423413707549313,0.910296101520644,0.6439688248348271,0.6,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J1_BIOMARKER_FILM_epoch5.pth,J1_BIOMARKER_FILM
6,0.10993115399972712,2.0001587925187074,0.9062465704335345,0.6164818561204515,0.6,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J1_BIOMARKER_FILM_epoch6.pth,J1_BIOMARKER_FILM
7,0.07884278469113175,1.5873579548065921,0.9035138434408642,0.6318131840784166,0.59,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J1_BIOMARKER_FILM_epoch7.pth,J1_BIOMARKER_FILM
8,0.06457945293495103,1.9487135869910919,0.9030919895673332,0.6382072844367095,0.59,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J1_BIOMARKER_FILM_epoch8.pth,J1_BIOMARKER_FILM
9,0.048198782824017086,1.8763818798294987,0.9112459707574883,0.6712536604646999,0.59,/root/niki_rop_task6_isolated/artifacts/task10_biomarker_film/J1_BIOMARKER_FILM_epoch9.pth,J1_BIOMARKER_FILM
