model,true_class,predicted_class,count,row_fraction
A_PRIMARY,Normal,Normal,0,0.0
A_PRIMARY,Normal,Pre-Plus,1,0.3333333333333333
A_PRIMARY,Normal,Plus,2,0.6666666666666666
A_PRIMARY,Pre-Plus,Normal,614,0.6252545824847251
A_PRIMARY,Pre-Plus,Pre-Plus,198,0.20162932790224034
A_PRIMARY,Pre-Plus,Plus,170,0.17311608961303462
A_PRIMARY,Plus,Normal,25,0.17857142857142858
A_PRIMARY,Plus,Pre-Plus,87,0.6214285714285714
A_PRIMARY,Plus,Plus,28,0.2
B_EMBEDDING_ONLY,Normal,Normal,0,0.0
B_EMBEDDING_ONLY,Normal,Pre-Plus,1,0.3333333333333333
B_EMBEDDING_ONLY,Normal,Plus,2,0.6666666666666666
B_EMBEDDING_ONLY,Pre-Plus,Normal,868,0.8839103869653768
B_EMBEDDING_ONLY,Pre-Plus,Pre-Plus,61,0.062118126272912425
B_EMBEDDING_ONLY,Pre-Plus,Plus,53,0.0539714867617108
B_EMBEDDING_ONLY,Plus,Normal,38,0.2714285714285714
B_EMBEDDING_ONLY,Plus,Pre-Plus,91,0.65
B_EMBEDDING_ONLY,Plus,Plus,11,0.07857142857142857
E_RGB_VESSEL_FEATURE_FUSION,Normal,Normal,0,0.0
E_RGB_VESSEL_FEATURE_FUSION,Normal,Pre-Plus,1,0.3333333333333333
E_RGB_VESSEL_FEATURE_FUSION,Normal,Plus,2,0.6666666666666666
E_RGB_VESSEL_FEATURE_FUSION,Pre-Plus,Normal,881,0.8971486761710794
E_RGB_VESSEL_FEATURE_FUSION,Pre-Plus,Pre-Plus,66,0.06720977596741344
E_RGB_VESSEL_FEATURE_FUSION,Pre-Plus,Plus,35,0.035641547861507125
E_RGB_VESSEL_FEATURE_FUSION,Plus,Normal,38,0.2714285714285714
E_RGB_VESSEL_FEATURE_FUSION,Plus,Pre-Plus,88,0.6285714285714286
E_RGB_VESSEL_FEATURE_FUSION,Plus,Plus,14,0.1
G_RGB_VESSEL_SCALAR_FUSION,Normal,Normal,0,0.0
G_RGB_VESSEL_SCALAR_FUSION,Normal,Pre-Plus,1,0.3333333333333333
G_RGB_VESSEL_SCALAR_FUSION,Normal,Plus,2,0.6666666666666666
G_RGB_VESSEL_SCALAR_FUSION,Pre-Plus,Normal,883,0.8991853360488798
G_RGB_VESSEL_SCALAR_FUSION,Pre-Plus,Pre-Plus,63,0.06415478615071284
G_RGB_VESSEL_SCALAR_FUSION,Pre-Plus,Plus,36,0.03665987780040733
G_RGB_VESSEL_SCALAR_FUSION,Plus,Normal,37,0.2642857142857143
G_RGB_VESSEL_SCALAR_FUSION,Plus,Pre-Plus,90,0.6428571428571429
G_RGB_VESSEL_SCALAR_FUSION,Plus,Plus,13,0.09285714285714286
