model,bin_lo,bin_hi,n,mean_confidence,accuracy,gap
B_EMBEDDING_ONLY,0.3333,0.4,2,0.369231985,0.5,0.13076801500000002
B_EMBEDDING_ONLY,0.4,0.4667,2,0.46000564,0.5,0.03999436000000001
B_EMBEDDING_ONLY,0.4667,0.5333,23,0.5071649373913043,0.6086956521739131,0.10153071478260878
B_EMBEDDING_ONLY,0.5333,0.6,42,0.5725020990476191,0.5238095238095238,-0.048692575238095226
B_EMBEDDING_ONLY,0.6,0.6667,52,0.6340778315384614,0.5576923076923077,-0.07638552384615371
B_EMBEDDING_ONLY,0.6667,0.7333,47,0.7020015993617021,0.574468085106383,-0.1275335142553191
B_EMBEDDING_ONLY,0.7333,0.8,72,0.7689087913888889,0.5555555555555556,-0.21335323583333332
B_EMBEDDING_ONLY,0.8,0.8667,55,0.8315817430909092,0.509090909090909,-0.3224908340000001
B_EMBEDDING_ONLY,0.8667,0.9333,102,0.9042317094117646,0.6176470588235294,-0.2865846505882351
B_EMBEDDING_ONLY,0.9333,1.0,934,0.9923252507815846,0.9282655246252677,-0.06405972615631694
E_RGB_VESSEL_FEATURE_FUSION,0.4,0.4667,4,0.43181666,0.5,0.06818333999999998
E_RGB_VESSEL_FEATURE_FUSION,0.4667,0.5333,25,0.5067208564,0.52,0.013279143600000043
E_RGB_VESSEL_FEATURE_FUSION,0.5333,0.6,40,0.5671895142500001,0.375,-0.19218951425000008
E_RGB_VESSEL_FEATURE_FUSION,0.6,0.6667,47,0.6353179759574467,0.48936170212765956,-0.1459562738297871
E_RGB_VESSEL_FEATURE_FUSION,0.6667,0.7333,47,0.7014754089361701,0.574468085106383,-0.12700732382978708
E_RGB_VESSEL_FEATURE_FUSION,0.7333,0.8,34,0.7618933985294118,0.5294117647058824,-0.2324816338235295
E_RGB_VESSEL_FEATURE_FUSION,0.8,0.8667,71,0.8354619467605634,0.647887323943662,-0.1875746228169014
E_RGB_VESSEL_FEATURE_FUSION,0.8667,0.9333,102,0.9027904003921566,0.6862745098039216,-0.21651589058823506
E_RGB_VESSEL_FEATURE_FUSION,0.9333,1.0,961,0.9939780148387097,0.9334027055150884,-0.06057530932362132
G_RGB_VESSEL_SCALAR_FUSION,0.3333,0.4,1,0.37344915,0.0,-0.37344915
G_RGB_VESSEL_SCALAR_FUSION,0.4,0.4667,2,0.45340194,0.0,-0.45340194
G_RGB_VESSEL_SCALAR_FUSION,0.4667,0.5333,24,0.5106371404166666,0.25,-0.26063714041666664
G_RGB_VESSEL_SCALAR_FUSION,0.5333,0.6,42,0.5667071128571429,0.5952380952380952,0.028530982380952308
G_RGB_VESSEL_SCALAR_FUSION,0.6,0.6667,42,0.6325887421428571,0.6190476190476191,-0.013541123095238028
G_RGB_VESSEL_SCALAR_FUSION,0.6667,0.7333,38,0.700594822894737,0.47368421052631576,-0.2269106123684212
G_RGB_VESSEL_SCALAR_FUSION,0.7333,0.8,50,0.7665078514,0.46,-0.3065078514
G_RGB_VESSEL_SCALAR_FUSION,0.8,0.8667,70,0.8336875277142857,0.6571428571428571,-0.17654467057142853
G_RGB_VESSEL_SCALAR_FUSION,0.8667,0.9333,90,0.9042120027777778,0.6888888888888889,-0.21532311388888892
G_RGB_VESSEL_SCALAR_FUSION,0.9333,1.0,972,0.9933849842283952,0.934156378600823,-0.05922860562757215
