Held-out source,Metric,K0,K1,K1-K0,95% CI,p
FARFUM-RoP,AUC,0.8329251289204936,0.8301291037805519,-0.0027960251399417,"[-0.006546, +0.000985]",0.1428
FARFUM-RoP,Balanced accuracy,0.6254485093397227,0.6281755255953304,0.0027270162556076,"[-0.007247, +0.012701]",0.5865
FARFUM-RoP,Macro F1,0.5716029860166447,0.5593409023683397,-0.012262083648305,"[-0.023740, -0.001240]",0.0317
FARFUM-RoP,Brier,0.6459371002354121,0.7001904243970414,0.0542533241616293,"[+0.048319, +0.060152]",<0.0001
FARFUM-RoP,ECE,0.2604802738075481,0.2995596301220162,0.039079356314468,"[+0.030698, +0.051016]",<0.0001
Farabi,AUC,0.7919160162216142,0.7910328110577881,-0.0008832051638261,"[-0.002439, +0.000685]",0.2588
Farabi,Balanced accuracy,0.5372627910554585,0.5345707508607204,-0.0026920401947381,"[-0.010735, +0.005277]",0.5089
Farabi,Macro F1,0.5011240803596776,0.5034804056444172,0.0023563252847396,"[-0.007202, +0.012421]",0.6351
Farabi,Brier,0.599321238855371,0.5944817414290345,-0.0048394974263364,"[-0.007563, -0.002140]",0.0009
Farabi,ECE,0.2176346322633934,0.2171069494877578,-0.0005276827756355,"[-0.008015, +0.007136]",0.8908
Plus (restricted),Restricted binary AUC (Normal vs Plus),,,0.0004854598844369,"[+0.000146, +0.000900]",0.0123
Plus (restricted),Balanced accuracy,0.941727963946634,0.9419165008998768,0.0001885369532428,"[-0.000943, +0.001320]",0.8088
Plus (restricted),Macro F1,0.8741798243610959,0.8709068203361655,-0.0032730040249303,"[-0.005930, -0.000756]",0.0137
Plus (restricted),Restricted 2-class Brier,0.1079870684984892,0.113107623467311,0.0051205549688218,"[+0.004792, +0.005451]",<0.0001
Plus (restricted),ECE,0.2320818559932306,0.2311137137231947,-0.0009681422700358,"[-0.002998, +0.001084]",0.3546
